:ID,公司简称,公司全称,注册地址,所属行业
300001,特锐德,青岛特锐德电气股份有限公司,山东省青岛市崂山区松岭路336号,C 制造业
300002,神州泰岳,北京神州泰岳软件股份有限公司,北京市海淀区万泉庄路28号万柳新贵大厦A座6层601室,I 信息技术
300003,乐普医疗,乐普（北京）医疗器械股份有限公司,北京市昌平区超前路37号,C 制造业
300004,南风股份,南方风机股份有限公司,广东省佛山市南海区小塘三环西路(狮南段)31号,C 制造业
300005,探路者,探路者控股集团股份有限公司,北京市昌平区科技园区永安路26号609,C 制造业
300006,莱美药业,重庆莱美药业股份有限公司,重庆市南岸区玉马路99号,C 制造业
300007,汉威科技,汉威科技集团股份有限公司,河南省郑州高新技术开发区雪松路169号,C 制造业
300008,天海防务,天海融合防务装备技术股份有限公司,上海市松江区莘砖公路518号10幢8层,M 科研服务
300009,安科生物,安徽安科生物工程(集团)股份有限公司,安徽省合肥市长江西路669号高新区海关路K-1,C 制造业
300010,立思辰,北京立思辰科技股份有限公司,北京市门头沟区石龙南路6号1幢6-206室,I 信息技术
300011,鼎汉技术,北京鼎汉技术集团股份有限公司,北京市丰台区南四环西路188号十八区2号楼（园区）,C 制造业
300012,华测检测,华测检测认证集团股份有限公司,广东省深圳市宝安区新安街道华测检测大楼1号楼101,M 科研服务
300013,新宁物流,江苏新宁现代物流股份有限公司,江苏省昆山市张浦镇阳光西路760号,G 运输仓储
300014,亿纬锂能,惠州亿纬锂能股份有限公司,广东省惠州市仲恺高新区惠风七路38号,C 制造业
300015,爱尔眼科,爱尔眼科医院集团股份有限公司,湖南省长沙市芙蓉区长冲路99号隆平高科技园省科研成果转化中心一楼,Q 卫生
300016,北陆药业,北京北陆药业股份有限公司,北京市密云区水源西路3号,C 制造业
300017,网宿科技,网宿科技股份有限公司,上海市嘉定环城路200号,I 信息技术
300018,中元股份,武汉中元华电科技股份有限公司,湖北省武汉东湖新技术开发区华中科技大学科技园六路6号,C 制造业
300019,硅宝科技,成都硅宝科技股份有限公司,四川省成都高新区新园大道16号,C 制造业
300020,银江股份,银江股份有限公司,浙江省杭州市益乐路223号1幢1层,I 信息技术
300021,大禹节水,大禹节水集团股份有限公司,甘肃省酒泉市解放路290号,C 制造业
300022,吉峰科技,吉峰三农科技服务股份有限公司,四川省成都市郫县成都现代工业港北部园区港通北二路219号,F 批发零售
300023,宝德股份,西安宝德自动化股份有限公司,陕西省西安市高新区草堂科技产业基地秦岭大道西付6号,J 金融业
300024,机器人,沈阳新松机器人自动化股份有限公司,辽宁省沈阳市浑南新区金辉街16号,C 制造业
300025,华星创业,杭州华星创业通信技术股份有限公司,浙江省杭州市滨江区长河街道聚才路500号,I 信息技术
300026,红日药业,天津红日药业股份有限公司,天津新技术产业园区武清开发区泉发路西,C 制造业
300027,华谊兄弟,华谊兄弟传媒股份有限公司,浙江省东阳市横店影视产业实验区C1001,R 文化传播
300028,金亚科技,金亚科技股份有限公司,四川省成都金牛高科技产业园信息园西路81号16层1-2号,C 制造业
300029,天龙光电,江苏华盛天龙光电设备股份有限公司,江苏省金坛经济开发区华城路318号,C 制造业
300030,阳普医疗,广州阳普医疗科技股份有限公司,广东省广州市经济技术开发区科学城开源大道102号,C 制造业
300031,宝通科技,无锡宝通科技股份有限公司,江苏省无锡市新吴区张公路19号,I 信息技术
300032,金龙机电,金龙机电股份有限公司,浙江省乐清市北白象镇进港大道边金龙科技园,C 制造业
300033,同花顺,浙江核新同花顺网络信息股份有限公司,浙江省杭州市余杭区同顺街18号,I 信息技术
