:START_ID,:END_ID,:TYPE
002203,002590,0.99999994
300475,002538,0.99999994
300805,002967,0.9610099
300572,002587,0.9458831
300531,002587,0.9355597
002659,002933,0.9022119
300075,300332,0.8967135
300592,002261,0.8660254
002222,002512,0.8660253
002170,002587,0.85828435
300539,002896,0.8483745
300531,300572,0.8340821
300723,002209,0.8320723
300356,300670,0.81938016
300609,002486,0.81649655
300058,002707,0.8130387
300418,002383,0.80823076
002410,002649,0.8031742
300720,002295,0.8000045
