,目标地址省市区,目标地址代码,目标地址,被比较地址省市区,被比较地址代码,被比较地址,相似度,adcode
2,浙江省绍兴市诸暨市,002203,店口镇工业区,浙江省绍兴市诸暨市,002590,店口镇工业区,0.99999994,330681
1,安徽省宣城市宁国市,300475,经济技术开发区创业北路16号,安徽省宣城市宁国市,002538,经济技术开发区,0.99999994,341881
6,广东省广州市天河区,300805,黄埔大道西平云路163号通讯大楼4层东部之三房,广东省广州市天河区,002967,黄埔大道西平云路163号,0.9610099,440106
46,广东省深圳市南山区,300572,粤海街道学府路63号高新区联合总部大厦35楼,广东省深圳市南山区,002587,粤海街道学府路63号高新区联合总部大厦10楼,0.9458831,440305
49,广东省深圳市南山区,300531,粤海街道学府路63号高新区联合总部大厦36楼,广东省深圳市南山区,002587,粤海街道学府路63号高新区联合总部大厦10楼,0.9355597,440305
2,北京市市辖区海淀区,002659,西杉创意园四区2号楼西段一层109,北京市市辖区海淀区,002933,西杉创意园四区4号楼,0.9022119,110108
18,北京市市辖区海淀区,300075,西直门北大街32号枫蓝国际中心1号楼18层1805室,北京市市辖区海淀区,300332,西直门北大街32号枫蓝国际中心2号楼906室,0.8967135,110108
1,湖南省长沙市岳麓区,300592,桐梓坡西路229号厂房101,湖南省长沙市岳麓区,002261,桐梓坡西路298号,0.8660254,430104
1,福建省福州市鼓楼区,002222,软件大道89号福州软件园F区9号楼,福建省福州市鼓楼区,002512,软件大道89号福州软件园G区17号楼,0.8660253,350102
23,广东省深圳市南山区,002170,高新技术园学府路63号联合总部大厦30-31楼,广东省深圳市南山区,002587,粤海街道学府路63号高新区联合总部大厦10楼,0.85828435,440305
1,浙江省宁波市慈溪市,300539,新兴产业集群区宗汉街道新兴大道588号,浙江省宁波市慈溪市,002896,新兴产业集群区宗汉街道新兴一路185号,0.8483745,330282
2,广东省深圳市南山区,300531,粤海街道学府路63号高新区联合总部大厦36楼,广东省深圳市南山区,300572,粤海街道学府路63号高新区联合总部大厦35楼,0.8340821,440305
2,广东省广州市黄埔区,300723,广州国际生物岛寰宇一路27号云润大厦17层,广东省广州市黄埔区,002209,云埔一路23号,0.8320723,440112
2,江苏省南京市江宁区,300356,将军大道128号,江苏省南京市江宁区,300670,将军大道223号,0.81938016,320115
1,上海市市辖区金山区,300609,亭林镇亭枫公路333号216室,上海市市辖区金山区,002486,亭林镇亭枫公路1918号,0.81649655,310116
13,北京市市辖区朝阳区,300058,酒仙桥北路9号（厂区）10幢二层A5-01,北京市市辖区朝阳区,002707,酒仙桥北路9号（厂区）7幢1层567号,0.8130387,110105
34,北京市市辖区海淀区,300418,知春路118号知春大厦B座605E,北京市市辖区海淀区,002383,知春路118号知春大厦1501室,0.80823076,110108
5,北京市市辖区海淀区,002410,西北旺东路10号院东区13号楼,北京市市辖区海淀区,002649,西北旺东路10号院东区7号楼博彦科技大厦,0.8031742,110108
1,广东省佛山市顺德区,300720,北滘镇黄龙村委会龙展路3号,广东省佛山市顺德区,002295,北滘镇西海工业区,0.8000045,440606
25,北京市市辖区海淀区,300157,丰秀中路3号院4号楼401室,北京市市辖区海淀区,300445,丰秀中路3号院5号楼,0.78755206,110108
2,广东省深圳市龙岗区,300197,坂田街道雪岗路2018号天安云谷产业园一期3栋B座20层2002单元,广东省深圳市龙岗区,300389,坂田街道雪岗路2018号天安云谷产业园一期3栋A座18、19、20层,0.786332,440307
18,广东省深圳市南山区,300252,粤海街道高新区社区高新南九道10号深圳湾科技生态园10栋B座26层,广东省深圳市南山区,300689,粤海街道高新区社区高新南九道10号深圳湾科技生态园10栋B3401-B3404,0.78616315,440305
0,广东省深圳市福田区,300350,华富街道莲花一村社区皇岗路5001号深业上城（南区）T2栋4308,广东省深圳市福田区,300377,华富街道莲花一村社区皇岗路5001号深业上城南区T2栋3701,0.78395665,440304
