user_id,order_id,loan_date,period,due_date,repay_time
uid_1,oid_1,2021-01-23,9,2021-10-23,
uid_1,oid_1,2021-01-23,1,2021-02-23,2021-02-23 00:00:00
uid_1,oid_1,2021-01-23,5,2021-06-23,
uid_1,oid_1,2021-01-23,6,2021-07-23,
uid_1,oid_1,2021-01-23,7,2021-08-23,
uid_1,oid_1,2021-01-23,2,2021-03-23,2021-03-03 00:00:00
uid_1,oid_1,2021-01-23,8,2021-09-23,
uid_1,oid_1,2021-01-23,4,2021-05-23,
uid_1,oid_1,2021-01-23,3,2021-04-23,
uid_2,oid_2,2021-01-23,7,2021-08-23,2021-07-01 00:00:00
uid_2,oid_2,2021-01-23,1,2021-02-23,2021-02-09 00:00:00
uid_2,oid_2,2021-01-23,5,2021-06-23,2021-06-02 00:00:00
uid_2,oid_2,2021-01-23,12,2022-01-23,2021-07-01 00:00:00
uid_2,oid_2,2021-01-23,3,2021-04-23,2021-04-01 00:00:00
uid_2,oid_2,2021-01-23,2,2021-03-23,2021-03-01 00:00:00
uid_2,oid_2,2021-01-23,6,2021-07-23,2021-07-01 00:00:00
uid_2,oid_2,2021-01-23,4,2021-05-23,2021-05-01 00:00:00
uid_2,oid_2,2021-01-23,8,2021-09-23,2021-07-01 00:00:00
uid_2,oid_2,2021-01-23,9,2021-10-23,2021-07-01 00:00:00
uid_2,oid_2,2021-01-23,11,2021-12-23,2021-07-01 00:00:00
uid_2,oid_2,2021-01-23,10,2021-11-23,2021-07-01 00:00:00
uid_3,oid_3,2021-01-23,11,2021-12-23,2021-12-22 00:00:00
uid_3,oid_3,2021-01-23,9,2021-10-23,2021-10-28 00:00:00
uid_3,oid_3,2021-01-23,6,2021-07-23,2021-07-23 00:00:00
uid_3,oid_3,2021-01-23,12,2022-01-23,
uid_3,oid_3,2021-01-23,8,2021-09-23,2021-10-12 00:00:00
uid_3,oid_3,2021-01-23,4,2021-05-23,2021-05-20 00:00:00
uid_3,oid_3,2021-01-23,1,2021-02-23,2021-02-20 00:00:00
uid_3,oid_3,2021-01-23,3,2021-04-23,2021-04-12 00:00:00
uid_3,oid_3,2021-01-23,2,2021-03-23,2021-03-15 00:00:00
uid_3,oid_3,2021-01-23,5,2021-06-23,2021-06-02 00:00:00
uid_3,oid_3,2021-01-23,10,2021-11-23,2021-11-10 00:00:00
uid_3,oid_3,2021-01-23,7,2021-08-23,2021-08-23 00:00:00
uid_4,oid_4,2021-01-24,7,2021-08-24,
uid_4,oid_4,2021-01-24,3,2021-04-24,
uid_4,oid_4,2021-01-24,5,2021-06-24,
uid_4,oid_4,2021-01-24,10,2021-11-24,
uid_4,oid_4,2021-01-24,6,2021-07-24,
uid_4,oid_4,2021-01-24,9,2021-10-24,
uid_4,oid_4,2021-01-24,4,2021-05-24,
uid_4,oid_4,2021-01-24,2,2021-03-24,
uid_4,oid_4,2021-01-24,1,2021-02-24,
uid_4,oid_4,2021-01-24,8,2021-09-24,
uid_4,oid_4,2021-01-24,11,2021-12-24,
uid_4,oid_4,2021-01-24,12,2022-01-24,
uid_5,oid_5,2021-01-24,12,2022-01-24,2021-02-26 00:00:00
uid_5,oid_5,2021-01-24,10,2021-11-24,2021-02-26 00:00:00
uid_5,oid_5,2021-01-24,9,2021-10-24,2021-02-26 00:00:00
uid_5,oid_5,2021-01-24,11,2021-12-24,2021-02-26 00:00:00
uid_5,oid_5,2021-01-24,2,2021-03-24,2021-02-26 00:00:00
uid_5,oid_5,2021-01-24,6,2021-07-24,2021-02-26 00:00:00
uid_5,oid_5,2021-01-24,7,2021-08-24,2021-02-26 00:00:00
uid_5,oid_5,2021-01-24,3,2021-04-24,2021-02-26 00:00:00
uid_5,oid_5,2021-01-24,5,2021-06-24,2021-02-26 00:00:00
uid_5,oid_5,2021-01-24,1,2021-02-24,2021-02-24 00:00:00
uid_5,oid_5,2021-01-24,4,2021-05-24,2021-02-26 00:00:00
uid_5,oid_5,2021-01-24,8,2021-09-24,2021-02-26 00:00:00
uid_6,oid_6,2021-01-24,9,2021-10-24,2021-04-07 00:00:00
uid_6,oid_6,2021-01-24,8,2021-09-24,2021-04-07 00:00:00
uid_6,oid_6,2021-01-24,6,2021-07-24,2021-04-07 00:00:00
uid_6,oid_6,2021-01-24,11,2021-12-24,2021-04-07 00:00:00
uid_6,oid_6,2021-01-24,10,2021-11-24,2021-04-07 00:00:00
uid_6,oid_6,2021-01-24,1,2021-02-24,2021-02-25 00:00:00
uid_6,oid_6,2021-01-24,4,2021-05-24,2021-04-07 00:00:00
uid_6,oid_6,2021-01-24,7,2021-08-24,2021-04-07 00:00:00
uid_6,oid_6,2021-01-24,5,2021-06-24,2021-04-07 00:00:00
uid_6,oid_6,2021-01-24,12,2022-01-24,2021-04-07 00:00:00
uid_6,oid_6,2021-01-24,2,2021-03-24,2021-03-25 00:00:00
uid_6,oid_6,2021-01-24,3,2021-04-24,2021-04-07 00:00:00
uid_7,oid_7,2021-01-24,9,2021-10-24,2021-03-31 00:00:00
uid_7,oid_7,2021-01-24,8,2021-09-24,2021-03-31 00:00:00
uid_7,oid_7,2021-01-24,11,2021-12-24,2021-03-31 00:00:00
uid_7,oid_7,2021-01-24,2,2021-03-24,2021-03-22 00:00:00
uid_7,oid_7,2021-01-24,7,2021-08-24,2021-03-31 00:00:00
uid_7,oid_7,2021-01-24,1,2021-02-24,2021-02-24 00:00:00
uid_7,oid_7,2021-01-24,4,2021-05-24,2021-03-31 00:00:00
uid_7,oid_7,2021-01-24,12,2022-01-24,2021-03-31 00:00:00
uid_7,oid_7,2021-01-24,5,2021-06-24,2021-03-31 00:00:00
uid_7,oid_7,2021-01-24,10,2021-11-24,2021-03-31 00:00:00
uid_7,oid_7,2021-01-24,6,2021-07-24,2021-03-31 00:00:00
uid_7,oid_7,2021-01-24,3,2021-04-24,2021-03-31 00:00:00
uid_8,oid_8,2021-01-24,12,2022-01-24,2021-02-09 00:00:00
uid_8,oid_8,2021-01-24,5,2021-06-24,2021-02-09 00:00:00
uid_8,oid_8,2021-01-24,8,2021-09-24,2021-02-09 00:00:00
uid_8,oid_8,2021-01-24,9,2021-10-24,2021-02-09 00:00:00
uid_8,oid_8,2021-01-24,3,2021-04-24,2021-02-09 00:00:00
uid_8,oid_8,2021-01-24,1,2021-02-24,2021-02-09 00:00:00
uid_8,oid_8,2021-01-24,2,2021-03-24,2021-02-09 00:00:00
uid_8,oid_8,2021-01-24,7,2021-08-24,2021-02-09 00:00:00
uid_8,oid_8,2021-01-24,10,2021-11-24,2021-02-09 00:00:00
uid_8,oid_8,2021-01-24,11,2021-12-24,2021-02-09 00:00:00
uid_8,oid_8,2021-01-24,6,2021-07-24,2021-02-09 00:00:00
uid_8,oid_8,2021-01-24,4,2021-05-24,2021-02-09 00:00:00
uid_9,oid_9,2021-01-25,4,2021-05-25,2021-02-02 00:00:00
uid_9,oid_9,2021-01-25,8,2021-09-25,2021-02-02 00:00:00
uid_9,oid_9,2021-01-25,6,2021-07-25,2021-02-02 00:00:00
uid_9,oid_9,2021-01-25,9,2021-10-25,2021-02-02 00:00:00
uid_9,oid_9,2021-01-25,7,2021-08-25,2021-02-02 00:00:00
uid_9,oid_9,2021-01-25,1,2021-02-25,2021-02-02 00:00:00
uid_9,oid_9,2021-01-25,2,2021-03-25,2021-02-02 00:00:00
uid_9,oid_9,2021-01-25,5,2021-06-25,2021-02-02 00:00:00
uid_9,oid_9,2021-01-25,3,2021-04-25,2021-02-02 00:00:00
uid_10,oid_10,2021-01-25,1,2021-02-25,2021-02-24 00:00:00
uid_10,oid_10,2021-01-25,11,2021-12-25,2022-01-03 00:00:00
uid_10,oid_10,2021-01-25,4,2021-05-25,2021-05-14 00:00:00
uid_10,oid_10,2021-01-25,5,2021-06-25,2021-06-15 00:00:00
uid_10,oid_10,2021-01-25,10,2021-11-25,2021-11-26 00:00:00
uid_10,oid_10,2021-01-25,12,2022-01-25,2022-01-14 00:00:00
uid_10,oid_10,2021-01-25,7,2021-08-25,2021-08-26 00:00:00
uid_10,oid_10,2021-01-25,3,2021-04-25,2021-04-24 00:00:00
uid_10,oid_10,2021-01-25,9,2021-10-25,2021-10-25 00:00:00
uid_10,oid_10,2021-01-25,2,2021-03-25,2021-03-18 00:00:00
uid_10,oid_10,2021-01-25,6,2021-07-25,2021-07-23 00:00:00
uid_10,oid_10,2021-01-25,8,2021-09-25,2021-09-27 00:00:00
uid_11,oid_11,2021-01-25,2,2021-03-25,2021-03-25 00:00:00
uid_11,oid_11,2021-01-25,1,2021-02-25,2021-02-25 00:00:00
uid_11,oid_11,2021-01-25,9,2021-10-25,2021-10-25 00:00:00
uid_11,oid_11,2021-01-25,12,2022-01-25,2022-01-14 00:00:00
uid_11,oid_11,2021-01-25,5,2021-06-25,2021-06-25 00:00:00
uid_11,oid_11,2021-01-25,11,2021-12-25,2021-12-25 00:00:00
uid_11,oid_11,2021-01-25,6,2021-07-25,2021-07-25 00:00:00
uid_11,oid_11,2021-01-25,8,2021-09-25,2021-09-25 00:00:00
uid_11,oid_11,2021-01-25,3,2021-04-25,2021-04-25 00:00:00
uid_11,oid_11,2021-01-25,7,2021-08-25,2021-08-25 00:00:00
uid_11,oid_11,2021-01-25,4,2021-05-25,2021-05-25 00:00:00
uid_11,oid_11,2021-01-25,10,2021-11-25,2021-11-25 00:00:00
uid_12,oid_12,2021-01-25,6,2021-07-25,2021-07-24 00:00:00
uid_12,oid_12,2021-01-25,5,2021-06-25,2021-06-25 00:00:00
uid_12,oid_12,2021-01-25,2,2021-03-25,2021-03-12 00:00:00
uid_12,oid_12,2021-01-25,11,2021-12-25,2021-12-24 00:00:00
uid_12,oid_12,2021-01-25,4,2021-05-25,2021-05-24 00:00:00
uid_12,oid_12,2021-01-25,3,2021-04-25,2021-04-22 00:00:00
uid_12,oid_12,2021-01-25,12,2022-01-25,2022-01-24 00:00:00
uid_12,oid_12,2021-01-25,8,2021-09-25,2021-09-06 00:00:00
uid_12,oid_12,2021-01-25,10,2021-11-25,2021-11-24 00:00:00
uid_12,oid_12,2021-01-25,1,2021-02-25,2021-02-24 00:00:00
uid_12,oid_12,2021-01-25,7,2021-08-25,2021-08-24 00:00:00
uid_12,oid_12,2021-01-25,9,2021-10-25,2021-10-22 00:00:00
uid_13,oid_13,2021-01-25,8,2021-09-25,2021-09-20 00:00:00
uid_13,oid_13,2021-01-25,3,2021-04-25,2021-04-22 00:00:00
uid_13,oid_13,2021-01-25,2,2021-03-25,2021-03-23 00:00:00
uid_13,oid_13,2021-01-25,5,2021-06-25,2021-06-21 00:00:00
uid_13,oid_13,2021-01-25,7,2021-08-25,2021-08-21 00:00:00
uid_13,oid_13,2021-01-25,4,2021-05-25,2021-05-22 00:00:00
uid_13,oid_13,2021-01-25,6,2021-07-25,2021-07-21 00:00:00
uid_13,oid_13,2021-01-25,9,2021-10-25,2021-10-21 00:00:00
uid_13,oid_13,2021-01-25,1,2021-02-25,2021-02-23 00:00:00
uid_14,oid_14,2021-01-25,1,2021-02-25,2021-02-24 00:00:00
uid_14,oid_14,2021-01-25,4,2021-05-25,2021-05-17 00:00:00
uid_14,oid_14,2021-01-25,2,2021-03-25,2021-03-18 00:00:00
uid_14,oid_14,2021-01-25,10,2021-11-25,2021-11-25 00:00:00
uid_14,oid_14,2021-01-25,3,2021-04-25,2021-04-23 00:00:00
uid_14,oid_14,2021-01-25,6,2021-07-25,2021-07-20 00:00:00
uid_14,oid_14,2021-01-25,9,2021-10-25,2021-10-25 00:00:00
uid_14,oid_14,2021-01-25,5,2021-06-25,2021-06-22 00:00:00
uid_14,oid_14,2021-01-25,8,2021-09-25,2021-09-25 00:00:00
uid_14,oid_14,2021-01-25,11,2021-12-25,2021-12-25 00:00:00
uid_14,oid_14,2021-01-25,7,2021-08-25,2021-08-25 00:00:00
uid_14,oid_14,2021-01-25,12,2022-01-25,2022-01-25 00:00:00
