order_id,loan_date,period,due_date,repay_date,loan_amount
id_1,2021-01-02,3,2021-04-02,2021-03-29,105.66
id_2,2021-01-04,6,2021-07-04,2021-07-01,83.02
id_3,2021-01-04,4,2021-05-04,2021-05-04,118.69
id_4,2021-01-09,1,2021-02-09,2021-01-20,120.21
id_5,2021-01-10,3,2021-04-10,2021-04-10,406.38
id_6,2021-01-13,11,2021-12-13,,94.59
id_7,2021-01-13,6,2021-07-13,2021-07-08,83.02
id_8,2021-01-14,10,2021-11-14,2021-11-14,298.87
id_9,2021-01-14,7,2021-08-14,2021-08-13,83.6
id_10,2021-01-15,9,2021-10-15,,319.75
id_11,2021-01-16,4,2021-05-16,,163.7
id_12,2021-01-18,5,2021-06-18,2021-06-18,159.27
id_13,2021-01-19,6,2021-07-19,2021-07-19,298.85
id_14,2021-01-21,2,2021-03-21,2021-03-12,282.47
id_15,2021-01-26,1,2021-02-26,2021-02-26,96.61
id_16,2021-01-26,4,2021-05-26,2021-05-26,82.03
id_17,2021-01-26,10,2021-11-26,2021-11-29,306.55
id_17,2021-01-26,1,2021-02-26,2021-02-28,289.83
id_18,2021-01-27,9,2021-10-27,2021-10-26,319.75
id_19,2021-01-27,6,2021-07-27,2021-07-24,107.97
id_20,2021-01-27,5,2021-06-27,2021-06-28,214.6
id_21,2021-01-28,6,2021-07-28,2021-07-16,83.06
id_22,2021-01-29,3,2021-04-29,2021-04-29,107.82
id_23,2021-01-29,10,2021-11-28,2021-11-28,110.69
id_23,2021-01-29,6,2021-07-28,2021-07-16,107.97
id_24,2021-01-30,8,2021-09-28,2021-09-28,294.34
id_25,2021-01-30,7,2021-08-28,,100.29
id_26,2021-01-31,11,2021-12-28,2021-12-20,257.05
id_27,2021-01-31,10,2021-11-30,2021-12-07,106.91
id_28,2021-02-01,8,2021-10-01,2021-10-01,294.34
id_29,2021-02-03,1,2021-03-03,2021-03-03,80.51
id_30,2021-02-04,9,2021-11-04,2021-11-11,160.78
