user_id,apply_date,label,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47
uid1,2021-07-04,0,0.0,4.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,4.0,9.0,7.0,0.0,0.0,0.0,5.0,7.0,0.0,4.0,4.0,3.0,3.0,4.0,1.0,0.0,4.0,5.0,7.0,6.0,6.0,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,7.0,6.0,5.0,0.0,4.0,6.0,0.0
uid2,2021-07-04,1,1.0,8.0,0.0,1.0,1.0,9.0,1.0,0.0,0.0,5.0,6.0,6.0,1.0,0.0,0.0,4.0,8.0,1.0,5.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,5.0,7.0,5.0,4.0,3.0,5.0,5.0,6.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,6.0,5.0,1.0,8.0,4.0,0.0
uid3,2021-06-30,0,1.0,5.0,0.0,2.0,5.0,9.0,2.0,0.0,3.0,5.0,8.0,4.0,0.0,2.0,4.0,7.0,9.0,3.0,5.0,3.0,1.0,3.0,4.0,0.0,1.0,1.0,5.0,7.0,5.0,3.0,3.0,5.0,5.0,5.0,1.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,0.0,6.0,2.0,5.0
uid4,2021-06-24,0,0.0,5.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,4.0,9.0,3.0,0.0,0.0,0.0,3.0,6.0,0.0,4.0,1.0,0.0,7.0,2.0,0.0,1.0,1.0,4.0,6.0,6.0,5.0,6.0,5.0,5.0,7.0,0.0,0.0,5.0,5.0,5.0,0.0,8.0,7.0,6.0,5.0,7.0,6.0,0.0
uid5,2021-06-28,0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,5.0,5.0,4.0,1.0,2.0,2.0,0.0,4.0,4.0,4.0,2.0,0.0,5.0,3.0,2.0,4.0,4.0,5.0,5.0
uid6,2021-06-23,0,3.0,7.0,0.0,3.0,5.0,9.0,1.0,0.0,0.0,5.0,3.0,6.0,1.0,2.0,5.0,3.0,6.0,3.0,5.0,2.0,2.0,5.0,3.0,1.0,0.0,1.0,6.0,7.0,6.0,5.0,3.0,7.0,7.0,5.0,2.0,8.0,6.0,6.0,5.0,4.0,7.0,5.0,5.0,7.0,5.0,8.0,9.0
uid7,2021-06-22,1,0.0,6.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,1.0,0.0,6.0,2.0,1.0,0.0,1.0,4.0,5.0,4.0,3.0,13.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,5.0,5.0,0.0,3.0,0.0,0.0
uid8,2021-06-19,0,1.0,3.0,0.0,1.0,2.0,7.0,1.0,0.0,2.0,5.0,9.0,3.0,0.0,1.0,3.0,4.0,7.0,1.0,5.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,4.0,7.0,8.0,5.0,5.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,4.0,4.0,0.0,3.0,4.0,7.0
uid9,2021-06-25,0,0.0,6.0,1.0,1.0,3.0,8.0,3.0,0.0,4.0,4.0,6.0,4.0,1.0,0.0,5.0,5.0,7.0,2.0,4.0,1.0,0.0,6.0,2.0,1.0,0.0,2.0,5.0,7.0,3.0,3.0,3.0,5.0,6.0,7.0,1.0,0.0,0.0,0.0,5.0,0.0,6.0,5.0,4.0,0.0,8.0,8.0,9.0
uid10,2021-06-28,0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,16.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,5.0,0.0,0.0
uid11,2021-06-18,0,1.0,3.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,4.0,3.0,7.0,1.0,0.0,0.0,2.0,4.0,1.0,4.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,5.0,6.0,6.0,6.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,0.0,5.0,0.0,0.0
uid12,2021-06-28,0,0.0,4.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,4.0,9.0,4.0,0.0,0.0,0.0,3.0,6.0,0.0,4.0,0.0,0.0,9.0,2.0,0.0,0.0,9.0,5.0,6.0,6.0,4.0,5.0,3.0,5.0,5.0,0.0,3.0,0.0,0.0,4.0,8.0,3.0,2.0,2.0,0.0,5.0,1.0,3.0
uid13,2021-06-28,0,2.0,5.0,0.0,3.0,5.0,7.0,7.0,0.0,0.0,4.0,6.0,4.0,1.0,3.0,5.0,3.0,7.0,3.0,4.0,4.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,5.0,5.0,6.0,7.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,4.0,6.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0
uid14,2021-06-16,0,0.0,6.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0,4.0,4.0,1.0,0.0,3.0,4.0,7.0,4.0,3.0,5.0,5.0,5.0,1.0,0.0,3.0,0.0,0.0,5.0,6.0,5.0,4.0,3.0,0.0,1.0,2.0,3.0
uid15,2021-06-24,0,1.0,4.0,2.0,1.0,1.0,7.0,0.0,0.0,4.0,4.0,4.0,3.0,1.0,0.0,1.0,3.0,5.0,1.0,4.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,3.0,6.0,5.0,6.0,4.0,3.0,7.0,6.0,0.0,9.0,9.0,0.0,4.0,5.0,4.0,3.0,5.0,0.0,6.0,7.0,9.0
uid16,2021-06-22,0,0.0,4.0,1.0,0.0,1.0,5.0,0.0,0.0,3.0,5.0,8.0,6.0,0.0,0.0,0.0,2.0,3.0,1.0,5.0,0.0,0.0,9.0,2.0,1.0,0.0,2.0,5.0,6.0,6.0,5.0,8.0,5.0,5.0,6.0,1.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,4.0,0.0,7.0,5.0,7.0
uid17,2021-07-04,0,0.0,3.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,8.0,3.0,0.0,0.0,1.0,4.0,6.0,3.0,3.0,11.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,5.0
uid18,2021-06-28,0,1.0,5.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,3.0,9.0,4.0,0.0,1.0,4.0,2.0,5.0,2.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,6.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,4.0,5.0,4.0,6.0,6.0,0.0,5.0,0.0,0.0
uid19,2021-07-02,0,1.0,4.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,1.0,4.0,3.0,7.0,2.0,3.0,0.0,0.0,8.0,4.0,1.0,0.0,2.0,4.0,6.0,4.0,3.0,6.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,6.0,0.0
uid20,2021-06-22,0,5.0,8.0,0.0,5.0,7.0,8.0,0.0,0.0,0.0,4.0,5.0,3.0,1.0,5.0,8.0,5.0,7.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,6.0,4.0,4.0,6.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,4.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0
uid21,2021-06-29,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,5.0,6.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
uid22,2021-07-01,0,0.0,4.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,3.0,8.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,5.0,4.0,3.0,9.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uid23,2021-06-27,1,0.0,3.0,0.0,1.0,2.0,7.0,5.0,5.0,3.0,5.0,7.0,2.0,1.0,1.0,1.0,4.0,7.0,2.0,5.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,5.0,7.0,8.0,2.0,7.0,5.0,6.0,5.0,1.0,6.0,0.0,0.0,6.0,0.0,6.0,4.0,4.0,0.0,6.0,2.0,7.0
uid24,2021-07-03,0,0.0,3.0,1.0,0.0,2.0,9.0,3.0,0.0,1.0,6.0,8.0,5.0,0.0,0.0,2.0,5.0,8.0,1.0,6.0,0.0,0.0,9.0,4.0,1.0,0.0,2.0,6.0,7.0,8.0,3.0,3.0,5.0,8.0,6.0,1.0,7.0,0.0,0.0,6.0,3.0,6.0,7.0,6.0,0.0,8.0,0.0,8.0
uid25,2021-06-27,1,0.0,3.0,0.0,3.0,4.0,8.0,0.0,0.0,0.0,4.0,6.0,3.0,1.0,3.0,4.0,4.0,7.0,2.0,4.0,0.0,0.0,8.0,2.0,1.0,0.0,1.0,5.0,7.0,4.0,3.0,3.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,6.0,4.0,3.0,0.0,2.0,0.0,0.0
uid26,2021-06-30,0,0.0,3.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,2.0,4.0,7.0,1.0,4.0,1.0,0.0,6.0,3.0,1.0,0.0,0.0,4.0,6.0,5.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,6.0,6.0,0.0,5.0,0.0,0.0
uid27,2021-06-24,0,0.0,7.0,0.0,1.0,2.0,9.0,1.0,0.0,1.0,6.0,9.0,6.0,0.0,1.0,3.0,6.0,8.0,2.0,7.0,1.0,0.0,7.0,3.0,1.0,0.0,0.0,6.0,7.0,5.0,5.0,3.0,5.0,7.0,6.0,0.0,7.0,0.0,0.0,7.0,6.0,5.0,5.0,4.0,0.0,7.0,7.0,7.0
